product_id,name_en,sku,category,description_en,description_html,specs_json,image_url,additional_images
A01,寵物皮膚專用艾毛寶,A01,Health,"[block id=""homepage-slider""] 聯繫高藥師Facebook 法鬥唯一推薦的皮膚保健品：艾毛寶 最推薦狗種：貴賓、法鬥、西施、臘腸、雪納瑞、瑪爾濟斯、西高地白梗（西莎狗)","[block id=""shipping-weight""]

<h5>法鬥唯一推薦的皮膚保健品：艾毛寶</h5>
<!-- <a href=""/imbdescription?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10555"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-02.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbhowtouse?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10556"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-03.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbrecommend?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10557"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-04.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbtestimonial?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10554"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-01.jpg"" alt="""" width=""428"" height=""144"" /></a> -->

<img class=""alignnone size-medium wp-image-10506"" src=""https://pethospital.com.tw/wp-content/uploads/2018/06/imbpd-5.jpg"" alt="""" width=""960"" height=""1581"" />

<img class=""alignnone size-medium wp-image-10495"" src=""https://pethospital.com.tw/wp-content/uploads/2018/06/imbwy-6.jpg"" alt="""" width=""960"" height=""4101"" />

[block id=""homepage-slider""]

[block id=""about_us""]","{""type"":""variable"",""visibility"":""visible"",""tags"":[""過敏""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic14.jpg,"[""https://pethospital.com.tw/wp-content/uploads/2018/08/031306.jpg"",""https://pethospital.com.tw/wp-content/uploads/2016/09/MIN_8622v2.jpg"",""https://pethospital.com.tw/wp-content/uploads/2016/09/imb_13v2.jpg""]"
C01,少賴皮洗毛精(效期2027/1)買一贈一,C01,Beauty,神奇洗劑升級版！ 台灣三瓶八折優惠中(7-11、便利帶宅配、到店自取) 有任何問題請和我聯絡 聯繫高藥師Facebook,"[block id=""shipping-weight""]

神奇洗劑升級版！

<a href=""https://wa.me/886980347570"" rel=""noopener"" target=""_blank""><strong>海外配送(指台灣、香港、澳門以外的地區)貨運商禁運液體，如需購買請先與我聯絡，謝謝。</strong></a>

<img src=""https://pethospital.com.tw/wp-content/uploads/2019/12/imobo_59.jpg"" alt="""" width=""1795"" height=""2528"" class=""alignnone size-full wp-image-14173"" />

<img src=""https://pethospital.com.tw/wp-content/uploads/2019/12/imobo_60.jpg"" alt="""" width=""1795"" height=""2528"" class=""alignnone size-full wp-image-14174"" />

<img src=""https://pethospital.com.tw/wp-content/uploads/2019/12/imobo_62.jpg"" alt="""" width=""1795"" height=""1258"" class=""alignnone size-medium wp-image-14175"" />

<img src=""https://pethospital.com.tw/wp-content/uploads/2019/12/imobo_63.jpg"" alt="""" width=""1795"" height=""2528"" class=""alignnone size-full wp-image-14176"" />

[block id=""about_us""]","{""type"":""variable"",""visibility"":""visible"",""tags"":[]}",https://pethospital.com.tw/wp-content/uploads/2019/10/NMS_4v4.jpg,"[""https://pethospital.com.tw/wp-content/uploads/2019/10/NMS_4v5.jpg"",""https://pethospital.com.tw/wp-content/uploads/2019/10/NMS_4v4.jpg""]"
AB1,艾毛寶＋少賴皮優惠組(少賴皮效期2027/1，買一贈一),AB1,Health,原優惠價艾毛寶1200元＋少賴皮優惠價450元 兩者合購只要1599元喲！！！等於少賴皮只要399元！ 聯繫高藥師Facebook,"[block id=""shipping-weight""]

<h5>建議購買此優惠組，給寵物寶貝最好的呵護！</h5>
<a href=""https://wa.me/886980347570"" rel=""noopener"" target=""_blank""><strong>海外配送(指台灣、香港、澳門以外的地區)貨運商禁運液體，如需購買請先與我聯絡，謝謝。</strong></a>
<h5>法鬥唯一推薦的皮膚保健品：艾毛寶</h5>
<!-- <a href=""/imbdescription?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10555"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-02.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbhowtouse?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10556"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-03.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbrecommend?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10557"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-04.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbtestimonial?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10554"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-01.jpg"" alt="""" width=""428"" height=""144"" /></a> -->

<img class=""alignnone size-medium wp-image-10506"" src=""https://pethospital.com.tw/wp-content/uploads/2018/06/imbpd-5.jpg"" alt="""" width=""960"" height=""1581"" />

<img class=""alignnone size-medium wp-image-10495"" src=""https://pethospital.com.tw/wp-content/uploads/2018/06/imbwy-6.jpg"" alt="""" width=""960"" height=""4101"" />

[block id=""about_us""]","{""type"":""simple"",""visibility"":""visible"",""tags"":[]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic15.jpg,"[""https://pethospital.com.tw/wp-content/uploads/2016/09/MIN_8622v2.jpg""]"
D1-1,艾毛寶三盒裝 少賴皮(少賴皮效期2027/1，買一贈一),D1-1,Health,三盒艾毛寶＋少賴皮一瓶，等於少賴皮一瓶只要299元！ 聯繫高藥師Facebook,"[block id=""shipping-weight""]

<h5>適合想要給寵物寶貝長期調養，和單盒裝的優惠相比，又多便宜百元。</h5>
<a href=""https://wa.me/886980347570"" rel=""noopener"" target=""_blank""><strong>海外配送(指台灣、香港、澳門以外的地區)貨運商禁運液體，如需購買請先與我聯絡，謝謝。</strong></a>
<h5>法鬥唯一推薦的皮膚保健品：艾毛寶</h5>
<!-- <a href=""/imbdescription?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10555"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-02.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbhowtouse?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10556"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-03.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbrecommend?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10557"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-04.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbtestimonial?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10554"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-01.jpg"" alt="""" width=""428"" height=""144"" /></a> -->

<img class=""alignnone size-medium wp-image-10506"" src=""https://pethospital.com.tw/wp-content/uploads/2018/06/imbpd-5.jpg"" alt="""" width=""960"" height=""1581"" />

<img class=""alignnone size-medium wp-image-10495"" src=""https://pethospital.com.tw/wp-content/uploads/2018/06/imbwy-6.jpg"" alt="""" width=""960"" height=""4101"" />

[block id=""about_us""]","{""type"":""simple"",""visibility"":""visible"",""tags"":[""過敏""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic16.jpg,"[""https://pethospital.com.tw/wp-content/uploads/2016/09/MIN_8622v2.jpg"",""https://pethospital.com.tw/wp-content/uploads/2016/09/imb_13v2.jpg""]"
A08,食品級矽藻土（超優質）,A08,Pet Supplies,100g試用裝！ 矽藻土作用，請自己上網搜尋！ 本產品不同於傳統美國矽藻土，效果比較好！ 可以在平常不洗澡時候，抹於寵物身上，可以達到除蟲功效！ 安全無毒，可食用。,"食品級矽藻土
本產品不同於傳統美國矽藻土，效果比較好！
可以在平常不洗澡時候，抹於寵物身上，可以達到除蟲功效！
安全無毒，可食用。","{""type"":""simple"",""visibility"":""search"",""tags"":[""矽藻土""]}",https://pethospital.com.tw/wp-content/uploads/2017/08/pet_algae.jpg,
R1,補運費,R1,Pet Supplies,跨境/超重/補寄補運費,跨境/超重/補寄補運費,"{""type"":""simple, virtual"",""visibility"":""search"",""tags"":[]}",https://pethospital.com.tw/wp-content/uploads/2018/04/pet_resend_shipping.jpg,
E01,寵物關節專用草上飛plus 150顆瓶裝,E01,Health,草上飛plus版正式上市，原 草上飛 升級版 每瓶150顆裝 聯繫高藥師Facebook,"草上飛plus版正式上市，原草上飛升級版

成分：綠唇貝、膠原蛋白、龜鹿二仙膠、玻尿酸、貓爪藤

每瓶150顆裝

&lt;!-- <a href=""/ftgdescription?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10555"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-02.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/ftghowtouse?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10556"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-03.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/ftgrecommend?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10557"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-04.jpg"" alt="""" width=""428"" height=""144"" /></a>  <img class=""alignnone wp-image-10554"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-01.jpg"" alt="""" width=""428"" height=""144"" /> --&gt;

使用方法：體重十公斤一顆

<img class=""alignnone size-full wp-image-12906"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_29.jpg"" alt="""" width=""1795"" height=""2528"" /> <img class=""alignnone size-full wp-image-12907"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_30.jpg"" alt="""" width=""1795"" height=""2528"" /> <img class=""alignnone size-full wp-image-12908"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_31.jpg"" alt="""" width=""1795"" height=""2528"" />

<img class=""alignnone size-full wp-image-12894"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_10.jpg"" alt="""" width=""1795"" height=""2528"" />

定價150顆/1800元！

[block id=""about_us""]","{""type"":""simple"",""visibility"":""visible"",""tags"":[""關節保健""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic20.jpg,"[""https://pethospital.com.tw/wp-content/uploads/2019/09/F_07.jpg""]"
A01-E01,艾毛寶＋草上飛plus優惠組,A01-E01,Pet Supplies,草上飛plus版正式上市，原 草上飛 升級版 草上飛plus每瓶150顆裝 台灣免運優惠中(7-11、便利帶宅配) 聯繫高藥師Facebook,"草上飛plus版正式上市，原草上飛升級版

成分：綠唇貝、膠原蛋白、龜鹿二仙膠、玻尿酸、貓爪藤

草上飛plus每瓶150顆裝

<!-- <a href=""/ftgdescription?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10555"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-02.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/ftghowtouse?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10556"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-03.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/ftgrecommend?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10557"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-04.jpg"" alt="""" width=""428"" height=""144"" /></a>  <img class=""alignnone wp-image-10554"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-01.jpg"" alt="""" width=""428"" height=""144"" /> -->

使用方法：體重五公斤一顆

<img class=""alignnone size-full wp-image-12906"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_29.jpg"" alt="""" width=""1795"" height=""2528"" /> <img class=""alignnone size-full wp-image-12907"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_30.jpg"" alt="""" width=""1795"" height=""2528"" /> <img class=""alignnone size-full wp-image-12908"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_31.jpg"" alt="""" width=""1795"" height=""2528"" />

[block id=""about_us""]","{""type"":""simple"",""visibility"":""visible"",""tags"":[""過敏"",""關節保健""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic21.jpg,"[""https://pethospital.com.tw/wp-content/uploads/2019/09/F_07.jpg""]"
AB1-E01,艾毛寶＋少賴皮(少賴皮效期2027/1，買一贈一)＋草上飛plus,AB1-E01,Pet Supplies,草上飛plus版正式上市，原 草上飛 升級版 草上飛plus每瓶150顆裝 聯繫高藥師Facebook,"草上飛plus版正式上市，原草上飛升級版

成分：綠唇貝、膠原蛋白、龜鹿二仙膠、玻尿酸、貓爪藤

草上飛plus每瓶150顆裝

<!-- <a href=""/ftgdescription?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10555"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-02.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/ftghowtouse?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10556"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-03.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/ftgrecommend?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10557"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-04.jpg"" alt="""" width=""428"" height=""144"" /></a>  <img class=""alignnone wp-image-10554"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-01.jpg"" alt="""" width=""428"" height=""144"" /> -->

使用方法：體重五公斤一顆

<img class=""alignnone size-full wp-image-12906"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_29.jpg"" alt="""" width=""1795"" height=""2528"" /> <img class=""alignnone size-full wp-image-12907"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_30.jpg"" alt="""" width=""1795"" height=""2528"" /> <img class=""alignnone size-full wp-image-12908"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_31.jpg"" alt="""" width=""1795"" height=""2528"" />

[block id=""about_us""]","{""type"":""simple"",""visibility"":""visible"",""tags"":[""過敏"",""關節保健""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic22.jpg,"[""https://pethospital.com.tw/wp-content/uploads/2019/09/F_07.jpg""]"
D1-1-E01,艾毛寶三盒裝＋少賴皮(少賴皮效期2027/1，買一贈一)＋草上飛plus,D1-1-E01,Pet Supplies,草上飛plus版正式上市，原 草上飛 升級版 草上飛plus每瓶150顆裝 聯繫高藥師Facebook,"草上飛plus版正式上市，原草上飛升級版

成分：綠唇貝、膠原蛋白、龜鹿二仙膠、玻尿酸、貓爪藤

草上飛plus每瓶150顆裝

<!-- <a href=""/ftgdescription?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10555"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-02.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/ftghowtouse?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10556"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-03.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/ftgrecommend?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10557"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-04.jpg"" alt="""" width=""428"" height=""144"" /></a>  <img class=""alignnone wp-image-10554"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-01.jpg"" alt="""" width=""428"" height=""144"" /> -->

使用方法：體重五公斤一顆

<img class=""alignnone size-full wp-image-12906"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_29.jpg"" alt="""" width=""1795"" height=""2528"" /> <img class=""alignnone size-full wp-image-12907"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_30.jpg"" alt="""" width=""1795"" height=""2528"" /> <img class=""alignnone size-full wp-image-12908"" src=""https://pethospital.com.tw/wp-content/uploads/2019/09/F_31.jpg"" alt="""" width=""1795"" height=""2528"" />

[block id=""about_us""]","{""type"":""simple"",""visibility"":""visible"",""tags"":[""過敏"",""關節保健""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic23.jpg,"[""https://pethospital.com.tw/wp-content/uploads/2019/09/F_07.jpg""]"
