product_id,name_en,sku,category,description_en,specs_json,image_url,images
A01,寵物皮膚專用艾毛寶,A01,Health,"[block id=""homepage-slider""] 聯繫高藥師Facebook 法鬥唯一推薦的皮膚保健品：艾毛寶 最推薦狗種：貴賓、法鬥、西施、臘腸、雪納瑞、瑪爾濟斯、西高地白梗（西莎狗)","{""type"":""variable"",""visibility"":""visible"",""tags"":[""過敏""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic14.jpg,"[{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic14.jpg"",""is_primary"":true,""alt_text"":""寵物皮膚專用艾毛寶"",""order"":0},{""url"":""https://pethospital.com.tw/wp-content/uploads/2018/08/031306.jpg"",""is_primary"":false,""alt_text"":""寵物皮膚專用艾毛寶"",""order"":1},{""url"":""https://pethospital.com.tw/wp-content/uploads/2016/09/MIN_8622v2.jpg"",""is_primary"":false,""alt_text"":""寵物皮膚專用艾毛寶"",""order"":2},{""url"":""https://pethospital.com.tw/wp-content/uploads/2016/09/imb_13v2.jpg"",""is_primary"":false,""alt_text"":""寵物皮膚專用艾毛寶"",""order"":3}]"
C01,少賴皮洗毛精(效期2027/1)買一贈一,C01,Beauty,神奇洗劑升級版！ 台灣三瓶八折優惠中(7-11、便利帶宅配、到店自取) 有任何問題請和我聯絡 聯繫高藥師Facebook,"{""type"":""variable"",""visibility"":""visible"",""tags"":[]}",https://pethospital.com.tw/wp-content/uploads/2019/10/NMS_4v4.jpg,"[{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/10/NMS_4v4.jpg"",""is_primary"":true,""alt_text"":""少賴皮洗毛精(效期2027/1)買一贈一"",""order"":0},{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/10/NMS_4v5.jpg"",""is_primary"":false,""alt_text"":""少賴皮洗毛精(效期2027/1)買一贈一"",""order"":1},{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/10/NMS_4v4.jpg"",""is_primary"":false,""alt_text"":""少賴皮洗毛精(效期2027/1)買一贈一"",""order"":2}]"
AB1,艾毛寶＋少賴皮優惠組(少賴皮效期2027/1，買一贈一),AB1,Health,原優惠價艾毛寶1200元＋少賴皮優惠價450元 兩者合購只要1599元喲！！！等於少賴皮只要399元！ 聯繫高藥師Facebook,"{""type"":""simple"",""visibility"":""visible"",""tags"":[]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic15.jpg,"[{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic15.jpg"",""is_primary"":true,""alt_text"":""艾毛寶＋少賴皮優惠組(少賴皮效期2027/1，買一贈一)"",""order"":0},{""url"":""https://pethospital.com.tw/wp-content/uploads/2016/09/MIN_8622v2.jpg"",""is_primary"":false,""alt_text"":""艾毛寶＋少賴皮優惠組(少賴皮效期2027/1，買一贈一)"",""order"":1}]"
D1-1,艾毛寶三盒裝 少賴皮(少賴皮效期2027/1，買一贈一),D1-1,Health,三盒艾毛寶＋少賴皮一瓶，等於少賴皮一瓶只要299元！ 聯繫高藥師Facebook,"{""type"":""simple"",""visibility"":""visible"",""tags"":[""過敏""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic16.jpg,"[{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic16.jpg"",""is_primary"":true,""alt_text"":""艾毛寶三盒裝 少賴皮(少賴皮效期2027/1，買一贈一)"",""order"":0},{""url"":""https://pethospital.com.tw/wp-content/uploads/2016/09/MIN_8622v2.jpg"",""is_primary"":false,""alt_text"":""艾毛寶三盒裝 少賴皮(少賴皮效期2027/1，買一贈一)"",""order"":1},{""url"":""https://pethospital.com.tw/wp-content/uploads/2016/09/imb_13v2.jpg"",""is_primary"":false,""alt_text"":""艾毛寶三盒裝 少賴皮(少賴皮效期2027/1，買一贈一)"",""order"":2}]"
A08,食品級矽藻土（超優質）,A08,Pet Supplies,100g試用裝！ 矽藻土作用，請自己上網搜尋！ 本產品不同於傳統美國矽藻土，效果比較好！ 可以在平常不洗澡時候，抹於寵物身上，可以達到除蟲功效！ 安全無毒，可食用。,"{""type"":""simple"",""visibility"":""search"",""tags"":[""矽藻土""]}",https://pethospital.com.tw/wp-content/uploads/2017/08/pet_algae.jpg,"[{""url"":""https://pethospital.com.tw/wp-content/uploads/2017/08/pet_algae.jpg"",""is_primary"":true,""alt_text"":""食品級矽藻土（超優質）"",""order"":0}]"
R1,補運費,R1,Pet Supplies,跨境/超重/補寄補運費,"{""type"":""simple, virtual"",""visibility"":""search"",""tags"":[]}",https://pethospital.com.tw/wp-content/uploads/2018/04/pet_resend_shipping.jpg,"[{""url"":""https://pethospital.com.tw/wp-content/uploads/2018/04/pet_resend_shipping.jpg"",""is_primary"":true,""alt_text"":""補運費"",""order"":0}]"
E01,寵物關節專用草上飛plus 150顆瓶裝,E01,Health,草上飛plus版正式上市，原 草上飛 升級版 每瓶150顆裝 聯繫高藥師Facebook,"{""type"":""simple"",""visibility"":""visible"",""tags"":[""關節保健""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic20.jpg,"[{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic20.jpg"",""is_primary"":true,""alt_text"":""寵物關節專用草上飛plus 150顆瓶裝"",""order"":0},{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/09/F_07.jpg"",""is_primary"":false,""alt_text"":""寵物關節專用草上飛plus 150顆瓶裝"",""order"":1}]"
A01-E01,艾毛寶＋草上飛plus優惠組,A01-E01,Pet Supplies,草上飛plus版正式上市，原 草上飛 升級版 草上飛plus每瓶150顆裝 台灣免運優惠中(7-11、便利帶宅配) 聯繫高藥師Facebook,"{""type"":""simple"",""visibility"":""visible"",""tags"":[""過敏"",""關節保健""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic21.jpg,"[{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic21.jpg"",""is_primary"":true,""alt_text"":""艾毛寶＋草上飛plus優惠組"",""order"":0},{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/09/F_07.jpg"",""is_primary"":false,""alt_text"":""艾毛寶＋草上飛plus優惠組"",""order"":1}]"
AB1-E01,艾毛寶＋少賴皮(少賴皮效期2027/1，買一贈一)＋草上飛plus,AB1-E01,Pet Supplies,草上飛plus版正式上市，原 草上飛 升級版 草上飛plus每瓶150顆裝 聯繫高藥師Facebook,"{""type"":""simple"",""visibility"":""visible"",""tags"":[""過敏"",""關節保健""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic22.jpg,"[{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic22.jpg"",""is_primary"":true,""alt_text"":""艾毛寶＋少賴皮(少賴皮效期2027/1，買一贈一)＋草上飛plus"",""order"":0},{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/09/F_07.jpg"",""is_primary"":false,""alt_text"":""艾毛寶＋少賴皮(少賴皮效期2027/1，買一贈一)＋草上飛plus"",""order"":1}]"
D1-1-E01,艾毛寶三盒裝＋少賴皮(少賴皮效期2027/1，買一贈一)＋草上飛plus,D1-1-E01,Pet Supplies,草上飛plus版正式上市，原 草上飛 升級版 草上飛plus每瓶150顆裝 聯繫高藥師Facebook,"{""type"":""simple"",""visibility"":""visible"",""tags"":[""過敏"",""關節保健""]}",https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic23.jpg,"[{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic23.jpg"",""is_primary"":true,""alt_text"":""艾毛寶三盒裝＋少賴皮(少賴皮效期2027/1，買一贈一)＋草上飛plus"",""order"":0},{""url"":""https://pethospital.com.tw/wp-content/uploads/2019/09/F_07.jpg"",""is_primary"":false,""alt_text"":""艾毛寶三盒裝＋少賴皮(少賴皮效期2027/1，買一贈一)＋草上飛plus"",""order"":1}]"
Y01,寵物護眼專用黑木童,Y01,Health,聯繫高藥師Facebook,"{""type"":""simple"",""visibility"":""visible"",""tags"":[""葉黃素""]}",https://pethospital.com.tw/wp-content/uploads/2020/01/H01.jpg,"[{""url"":""https://pethospital.com.tw/wp-content/uploads/2020/01/H01.jpg"",""is_primary"":true,""alt_text"":""寵物護眼專用黑木童"",""order"":0}]"
